RegionType,Name,2008_Avg,2009_Avg,2010_Avg,2011_Avg,2012_Avg,2013_Avg,2014_Avg,2015_Avg,2016_Avg,2017_Avg,2018_Avg,2019_Avg,2020_Avg,2021_Avg
MetroArea,"Deltona-Daytona Beach-Ormond Beach, FL",6.941666667,10.49166667,11.24166667,11.11666667,10.34166667,7.966666667,6.191666667,5.258333333,4.016666667,3.033333333,2.683333333,2.85,1.883333333,1.3
MetroArea,"Denver-Aurora-Lakewood, CO",4.458333333,5.866666667,5.85,4.991666667,4.366666667,3.183333333,2.458333333,1.991666667,1.75,1.575,1.45,1.458333333,1.033333333,0.766666667
MetroArea,"Des Moines-West Des Moines, IA",4.116666667,5.516666667,5.475,4.925,4.4,3.866666667,3.358333333,2.858333333,2.6,2.408333333,2.475,2.525,1.533333333,1.4
MetroArea,"Detroit-Warren-Dearborn, MI",7.575,10.16666667,9.95,8.183333333,7.283333333,5.666666667,4.308333333,3.7,3.033333333,2.75,2.508333333,2.358333333,1.616666667,1.2
MetroArea,"Dover, DE",6.241666667,8.425,9.725,9.333333333,10,9.466666667,8.558333333,7.341666667,6.9,5.65,5.266666667,5.1,2.958333333,1.7
MetroArea,"Duluth, MN-WI",4.325,5.633333333,5.625,4.941666667,4.8,4.558333333,3.883333333,3.141666667,2.766666667,2.866666667,2.716666667,2.375,1.5,1.2
MetroArea,"Durham-Chapel Hill, NC",4.4,6.175,7.208333333,6.616666667,6.441666667,5.641666667,4.775,3.941666667,3.3,2.925,2.358333333,2.133333333,1.425,0.9
MetroArea,"East Stroudsburg, PA",8,11.03333333,12.79166667,12.71666667,13.26666667,12.39166667,10.4,8.908333333,7.041666667,6.658333333,6.991666667,5.8,3.558333333,2.066666667
MetroArea,"Eau Claire, WI",2.158333333,3.3,3.441666667,3.091666667,2.541666667,2.15,1.675,1.266666667,1.266666667,1.208333333,1.116666667,1.283333333,1.2,1.1
MetroArea,"Elizabethtown-Fort Knox, KY",5.366666667,6.508333333,5.2,5.266666667,5.45,4,3.8,3.7,3.366666667,2.825,2.683333333,2.325,1.575,1.1
MetroArea,"Elkhart-Goshen, IN",7.483333333,9.283333333,8.608333333,7.325,7.183333333,5.433333333,5.191666667,4.408333333,4.016666667,3.941666667,3.458333333,3.966666667,3.008333333,2.033333333
MetroArea,"El Paso, TX",6.658333333,8.516666667,8.708333333,7.875,7.675,6.416666667,5.825,5.525,5.008333333,5.158333333,4.691666667,4.516666667,2.95,1.866666667
MetroArea,"Erie, PA",4.708333333,5.816666667,6.125,6.125,6.05,5.316666667,5.108333333,4.841666667,4.566666667,4.975,4.2,3.716666667,2.516666667,2.166666667
MetroArea,"Eugene, OR",2.716666667,4.516666667,4.733333333,4.816666667,4.975,3.883333333,3.475,2.516666667,1.916666667,1.558333333,1.275,1.3,0.933333333,0.8
MetroArea,"Evansville, IN-KY",4.816666667,6.441666667,6.333333333,6.241666667,5.783333333,4.433333333,4.725,4.1,3.425,3.208333333,2.966666667,2.866666667,2.333333333,2
MetroArea,"Fargo, ND-MN",2.033333333,2.758333333,2.625,2.3,2.791666667,2.316666667,1.85,1.933333333,1.791666667,1.533333333,1.583333333,1.783333333,1.341666667,0.966666667
MetroArea,"Fayetteville, NC",5.633333333,7,6.941666667,6.466666667,6.9,6.583333333,6.125,5.075,4.766666667,4.916666667,4.283333333,4.283333333,2.908333333,1.8
MetroArea,"Fayetteville-Springdale-Rogers, AR-MO",4.591666667,6.375,6.091666667,5.825,5.825,4.233333333,3.541666667,3.116666667,2.541666667,2.241666667,2.233333333,2.133333333,1.55,1.066666667
MetroArea,"Flint, MI",9.116666667,10.80833333,10.81666667,9.216666667,8.741666667,7.733333333,6.116666667,4.825,4.366666667,4.05,3.841666667,3.666666667,2.4,1.833333333
MetroArea,"Florence, SC",6.675,7.75,8.85,8.625,8.158333333,7.2,7.291666667,6.475,5.958333333,6.175,5.8,6.3,4.416666667,3.3
MetroArea,"Fort Collins, CO",2.675,3.858333333,3.825,3.008333333,2.708333333,1.833333333,1.508333333,1.391666667,1.166666667,1.075,0.933333333,0.933333333,0.675,0.5
MetroArea,"Fort Smith, AR-OK",4.8,6.766666667,7.141666667,7.175,7.591666667,7.075,5.9,4.966666667,5.025,4.966666667,4.741666667,4.316666667,3.841666667,2.7
MetroArea,"Fort Wayne, IN",5.15,6.566666667,6.4,5.808333333,5.575,4.941666667,4.416666667,3.991666667,3.375,3.025,2.666666667,2.383333333,2.091666667,1.8
MetroArea,"Fresno, CA",6.608333333,10.88333333,11.025,8.775,7.15,5.041666667,3.983333333,3.333333333,3.116666667,3.016666667,2.558333333,2.391666667,1.583333333,1.166666667
MetroArea,"Gainesville, FL",5.066666667,6.8,6.9,7.691666667,8.166666667,6.441666667,5.308333333,4.3,3.733333333,3.008333333,2.841666667,2.825,2.116666667,1.566666667
MetroArea,"Gainesville, GA",6.233333333,10.10833333,11.05833333,9.175,8.466666667,6.091666667,4.275,3.908333333,3.216666667,3.091666667,2.858333333,2.991666667,2.15,1.4
MetroArea,"Grand Junction, CO",3.708333333,5.933333333,6.975,6.9,5.925,5.641666667,4.875,3.858333333,3.483333333,3.216666667,2.3,2.141666667,2.066666667,1.333333333
MetroArea,"Grand Rapids-Wyoming, MI",5.283333333,7.075,6.55,5.666666667,5.225,4.2,3.475,2.833333333,2.341666667,2.25,2.158333333,2.1,1.341666667,1
